source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
500nL1ng_CH1_J22	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL1ng_CH1_J22	1	78	500nL1ng_CH1_J22	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL1ng_CH1_J22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL1ng_CH1_J22.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL25ng_CH2_F10	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL25ng_CH2_F10	1	79	500nL25ng_CH2_F10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL25ng_CH2_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL25ng_CH2_F10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH1_J7	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH1_J7	1	80	HeLa_500nL_1ng_CH1_J7	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH1_J7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH1_J7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH2_L5	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH2_L5	1	81	Jurkat_500nL_1ng_CH2_L5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH2_L5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH2_L5.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL1ng_CH2_G22	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL1ng_CH2_G22	1	82	500nL1ng_CH2_G22	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL1ng_CH2_G22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL1ng_CH2_G22.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
QC_50ng_WWA_CH2_BA23_third	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	bulk control	FACS	QC_50ng_WWA_CH2_BA23_third	not applicable	83	QC_50ng_WWA_CH2_BA23_third	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QC_50ng_WWA_CH2_BA23_third.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/QC_50ng_WWA_CH2_BA23_third.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH1_B8	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH1_B8	1	84	HeLa_500nL_1ng_CH1_B8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH1_B8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH1_B8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_E13	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_E13	1	85	50umx15cm_SPE50_100nL_8mz_E13	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_E13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_E13.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
200nL_CH1_F6	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	200nL_CH1_F6	1	86	200nL_CH1_F6	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	200nL_CH1_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/200nL_CH1_F6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL1ng_CH2_K20	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL1ng_CH2_K20	1	87	500nL1ng_CH2_K20	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL1ng_CH2_K20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL1ng_CH2_K20.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH1_H4	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH1_H4	1	88	Jurkat_500nL_1ng_CH1_H4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH1_H4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH1_H4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
200nL_CH2_G6	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	200nL_CH2_G6	1	89	200nL_CH2_G6	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	200nL_CH2_G6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/200nL_CH2_G6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL25ng_CH1_E10	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL25ng_CH1_E10	1	90	500nL25ng_CH1_E10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL25ng_CH1_E10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL25ng_CH1_E10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL25ng_CH2_C10	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL25ng_CH2_C10	1	91	500nL25ng_CH2_C10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL25ng_CH2_C10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL25ng_CH2_C10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_E16	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_E16	1	92	50umx15cm_SPE50_100nL_8mz_E16	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_E16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_E16.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
200nL__CH1_blank_L6	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	empty	FACS	empty	0	93	200nL__CH1_blank_L6	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	200nL__CH1_blank_L6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/200nL__CH1_blank_L6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH1_D2	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH1_D2	1	94	Jurkat_500nL_1ng_CH1_D2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH1_D2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH1_D2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH2_F2	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH2_F2	1	95	Jurkat_500nL_1ng_CH2_F2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH2_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH2_F2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL25ng_CH2_I10	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL25ng_CH2_I10	1	96	500nL25ng_CH2_I10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL25ng_CH2_I10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL25ng_CH2_I10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
QC_50ng_WWA_CH2_BA22_first	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	bulk control	FACS	QC_50ng_WWA_CH2_BA22_first	not applicable	97	QC_50ng_WWA_CH2_BA22_first	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QC_50ng_WWA_CH2_BA22_first.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/QC_50ng_WWA_CH2_BA22_first.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH2_L8	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH2_L8	1	98	HeLa_500nL_1ng_CH2_L8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH2_L8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH2_L8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_C20	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_C20	1	99	50umx15cm_SPE50_100nL_8mz_C20	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_C20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_C20.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL1ng_CH1_H16	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL1ng_CH1_H16	1	100	500nL1ng_CH1_H16	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL1ng_CH1_H16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL1ng_CH1_H16.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH2_L4	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH2_L4	1	101	Jurkat_500nL_1ng_CH2_L4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH2_L4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH2_L4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL1ng_CH2_J21	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL1ng_CH2_J21	1	102	500nL1ng_CH2_J21	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL1ng_CH2_J21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL1ng_CH2_J21.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_D16	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_D16	1	103	50umx15cm_SPE50_100nL_8mz_D16	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_D16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_D16.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
